,Gender,Goal,BMI Category
0,Female,muscle_gain,Normal weight
1,Male,fat_burn,Underweight
2,Male,muscle_gain,Normal weight
3,Male,muscle_gain,Overweight
4,Female,muscle_gain,Normal weight
5,Male,muscle_gain,Underweight
6,Female,fat_burn,Overweight
7,Male,muscle_gain,Overweight
8,Female,fat_burn,Obesity
9,Female,muscle_gain,Underweight
10,Female,muscle_gain,Overweight
11,Female,fat_burn,Underweight
12,Female,muscle_gain,Underweight
13,Female,muscle_gain,Underweight
14,Female,muscle_gain,Overweight
15,Female,muscle_gain,Obesity
16,Female,fat_burn,Normal weight
17,Female,fat_burn,Obesity
18,Female,muscle_gain,Obesity
19,Male,fat_burn,Normal weight
20,Male,muscle_gain,Obesity
21,Female,muscle_gain,Underweight
22,Male,fat_burn,Normal weight
23,Male,fat_burn,Normal weight
24,Female,muscle_gain,Overweight
25,Male,muscle_gain,Overweight
26,Male,muscle_gain,Overweight
27,Male,muscle_gain,Underweight
28,Female,muscle_gain,Normal weight
29,Female,muscle_gain,Normal weight
30,Male,muscle_gain,Overweight
31,Male,muscle_gain,Overweight
32,Female,fat_burn,Normal weight
33,Male,muscle_gain,Normal weight
34,Male,fat_burn,Obesity
35,Male,fat_burn,Normal weight
36,Male,fat_burn,Overweight
37,Female,muscle_gain,Obesity
38,Female,fat_burn,Overweight
39,Male,muscle_gain,Overweight
40,Female,muscle_gain,Obesity
41,Female,muscle_gain,Normal weight
42,Male,fat_burn,Underweight
43,Male,muscle_gain,Obesity
44,Male,fat_burn,Overweight
45,Male,muscle_gain,Overweight
46,Female,fat_burn,Overweight
47,Male,muscle_gain,Obesity
48,Male,muscle_gain,Overweight
49,Female,muscle_gain,Overweight
50,Male,fat_burn,Obesity
51,Female,muscle_gain,Underweight
52,Female,fat_burn,Underweight
53,Male,fat_burn,Obesity
54,Female,muscle_gain,Underweight
55,Male,muscle_gain,Underweight
56,Female,muscle_gain,Overweight
57,Male,fat_burn,Normal weight
58,Male,muscle_gain,Normal weight
59,Male,fat_burn,Underweight
60,Female,fat_burn,Obesity
61,Male,muscle_gain,Normal weight
62,Male,fat_burn,Underweight
63,Female,muscle_gain,Overweight
64,Male,muscle_gain,Normal weight
65,Female,fat_burn,Obesity
66,Female,muscle_gain,Obesity
67,Male,muscle_gain,Normal weight
68,Male,muscle_gain,Overweight
69,Female,muscle_gain,Overweight
70,Female,muscle_gain,Overweight
71,Male,fat_burn,Normal weight
72,Male,fat_burn,Obesity
73,Female,muscle_gain,Normal weight
74,Female,fat_burn,Underweight
75,Male,muscle_gain,Obesity
76,Male,fat_burn,Normal weight
77,Female,fat_burn,Overweight
78,Female,fat_burn,Underweight
79,Female,fat_burn,Normal weight
80,Female,fat_burn,Underweight
81,Male,muscle_gain,Overweight
82,Male,muscle_gain,Normal weight
83,Male,fat_burn,Obesity
84,Male,muscle_gain,Overweight
85,Male,fat_burn,Normal weight
86,Female,muscle_gain,Underweight
87,Female,muscle_gain,Overweight
88,Female,muscle_gain,Normal weight
89,Female,fat_burn,Obesity
90,Male,fat_burn,Normal weight
91,Female,muscle_gain,Obesity
92,Male,fat_burn,Overweight
93,Male,fat_burn,Overweight
94,Male,muscle_gain,Overweight
95,Male,muscle_gain,Obesity
96,Female,muscle_gain,Underweight
97,Female,muscle_gain,Obesity
98,Female,muscle_gain,Underweight
99,Female,muscle_gain,Underweight
100,Male,muscle_gain,Obesity
101,Female,fat_burn,Normal weight
102,Male,fat_burn,Underweight
103,Female,muscle_gain,Overweight
104,Female,muscle_gain,Obesity
105,Female,muscle_gain,Overweight
106,Female,muscle_gain,Normal weight
107,Male,muscle_gain,Underweight
108,Male,fat_burn,Overweight
109,Female,muscle_gain,Overweight
110,Male,muscle_gain,Overweight
111,Female,fat_burn,Obesity
112,Male,fat_burn,Underweight
113,Female,muscle_gain,Normal weight
114,Male,muscle_gain,Underweight
115,Female,fat_burn,Overweight
116,Female,fat_burn,Overweight
117,Female,muscle_gain,Obesity
118,Female,muscle_gain,Normal weight
119,Male,muscle_gain,Underweight
120,Female,muscle_gain,Overweight
121,Male,muscle_gain,Overweight
122,Male,fat_burn,Overweight
123,Male,fat_burn,Normal weight
124,Male,fat_burn,Overweight
125,Male,fat_burn,Overweight
126,Male,fat_burn,Underweight
127,Female,fat_burn,Underweight
128,Male,muscle_gain,Obesity
129,Female,fat_burn,Obesity
130,Male,muscle_gain,Obesity
131,Female,fat_burn,Normal weight
132,Male,muscle_gain,Overweight
133,Male,fat_burn,Overweight
134,Female,muscle_gain,Underweight
135,Male,fat_burn,Underweight
136,Male,fat_burn,Normal weight
137,Female,muscle_gain,Overweight
138,Male,muscle_gain,Obesity
139,Female,fat_burn,Underweight
140,Female,fat_burn,Normal weight
141,Female,muscle_gain,Overweight
142,Female,muscle_gain,Normal weight
143,Male,fat_burn,Obesity
144,Female,muscle_gain,Underweight
145,Female,fat_burn,Underweight
146,Male,muscle_gain,Overweight
147,Female,fat_burn,Obesity
148,Male,fat_burn,Obesity
149,Male,muscle_gain,Obesity
150,Male,fat_burn,Overweight
151,Male,fat_burn,Obesity
152,Male,muscle_gain,Overweight
153,Female,muscle_gain,Underweight
154,Female,muscle_gain,Obesity
155,Female,muscle_gain,Normal weight
156,Female,muscle_gain,Normal weight
157,Female,fat_burn,Normal weight
158,Female,fat_burn,Underweight
159,Female,fat_burn,Underweight
160,Male,fat_burn,Underweight
161,Female,muscle_gain,Underweight
162,Male,muscle_gain,Overweight
163,Female,fat_burn,Underweight
164,Female,fat_burn,Underweight
165,Male,fat_burn,Obesity
166,Female,fat_burn,Normal weight
167,Male,muscle_gain,Overweight
168,Female,muscle_gain,Normal weight
169,Male,fat_burn,Normal weight
170,Male,muscle_gain,Normal weight
171,Female,fat_burn,Obesity
172,Male,fat_burn,Overweight
173,Male,fat_burn,Obesity
174,Female,fat_burn,Obesity
175,Male,muscle_gain,Underweight
176,Male,fat_burn,Underweight
177,Female,fat_burn,Underweight
178,Female,fat_burn,Overweight
179,Female,muscle_gain,Underweight
180,Female,fat_burn,Normal weight
181,Male,fat_burn,Overweight
182,Male,muscle_gain,Underweight
183,Female,fat_burn,Overweight
184,Male,muscle_gain,Underweight
185,Male,muscle_gain,Normal weight
186,Male,muscle_gain,Underweight
187,Male,fat_burn,Normal weight
188,Male,muscle_gain,Obesity
189,Female,fat_burn,Normal weight
190,Female,fat_burn,Normal weight
191,Female,muscle_gain,Overweight
192,Female,muscle_gain,Underweight
193,Female,muscle_gain,Underweight
194,Female,fat_burn,Underweight
195,Male,muscle_gain,Underweight
196,Male,fat_burn,Normal weight
197,Female,fat_burn,Underweight
198,Male,fat_burn,Underweight
199,Female,muscle_gain,Normal weight
200,Male,fat_burn,Obesity
201,Female,fat_burn,Normal weight
202,Male,muscle_gain,Underweight
203,Male,muscle_gain,Underweight
204,Male,muscle_gain,Obesity
205,Male,fat_burn,Normal weight
206,Male,muscle_gain,Overweight
207,Female,fat_burn,Obesity
208,Male,fat_burn,Overweight
209,Female,muscle_gain,Obesity
210,Female,fat_burn,Overweight
211,Male,muscle_gain,Underweight
212,Female,fat_burn,Normal weight
213,Male,fat_burn,Underweight
214,Female,fat_burn,Overweight
215,Male,muscle_gain,Overweight
216,Female,fat_burn,Obesity
217,Female,muscle_gain,Obesity
218,Male,fat_burn,Overweight
219,Male,fat_burn,Normal weight
220,Female,fat_burn,Obesity
221,Female,fat_burn,Obesity
222,Female,fat_burn,Normal weight
223,Female,fat_burn,Normal weight
224,Male,fat_burn,Underweight
225,Male,muscle_gain,Underweight
226,Male,muscle_gain,Normal weight
227,Female,muscle_gain,Normal weight
228,Female,muscle_gain,Overweight
229,Male,muscle_gain,Obesity
230,Male,muscle_gain,Obesity
231,Female,fat_burn,Overweight
232,Female,fat_burn,Obesity
233,Male,fat_burn,Underweight
234,Female,muscle_gain,Obesity
235,Male,fat_burn,Underweight
236,Male,muscle_gain,Obesity
237,Female,muscle_gain,Obesity
238,Female,fat_burn,Obesity
239,Male,muscle_gain,Normal weight
240,Female,muscle_gain,Obesity
241,Female,fat_burn,Obesity
242,Male,muscle_gain,Underweight
243,Male,muscle_gain,Normal weight
244,Male,muscle_gain,Overweight
245,Female,muscle_gain,Overweight
246,Female,muscle_gain,Overweight
247,Female,fat_burn,Underweight
248,Male,fat_burn,Underweight
249,Female,muscle_gain,Obesity
250,Male,muscle_gain,Overweight
251,Male,fat_burn,Underweight
252,Male,fat_burn,Underweight
253,Male,fat_burn,Obesity
254,Female,muscle_gain,Obesity
255,Female,fat_burn,Overweight
256,Female,fat_burn,Overweight
257,Male,muscle_gain,Overweight
258,Male,muscle_gain,Normal weight
259,Female,muscle_gain,Overweight
260,Female,muscle_gain,Normal weight
261,Female,muscle_gain,Overweight
262,Male,fat_burn,Underweight
263,Male,muscle_gain,Obesity
264,Male,fat_burn,Obesity
265,Female,fat_burn,Normal weight
266,Male,fat_burn,Normal weight
267,Male,fat_burn,Overweight
268,Male,fat_burn,Underweight
269,Male,fat_burn,Normal weight
270,Male,fat_burn,Normal weight
271,Female,muscle_gain,Overweight
272,Female,muscle_gain,Overweight
273,Female,muscle_gain,Normal weight
274,Female,muscle_gain,Obesity
275,Male,muscle_gain,Obesity
276,Male,fat_burn,Underweight
277,Female,muscle_gain,Normal weight
278,Female,muscle_gain,Normal weight
279,Female,fat_burn,Normal weight
280,Female,muscle_gain,Overweight
281,Male,fat_burn,Normal weight
282,Female,fat_burn,Underweight
283,Female,fat_burn,Normal weight
284,Female,fat_burn,Underweight
285,Female,fat_burn,Overweight
286,Male,muscle_gain,Normal weight
287,Male,fat_burn,Overweight
288,Male,muscle_gain,Obesity
289,Female,fat_burn,Normal weight
290,Male,fat_burn,Obesity
291,Male,muscle_gain,Overweight
292,Female,fat_burn,Obesity
293,Male,muscle_gain,Normal weight
294,Male,muscle_gain,Normal weight
295,Female,muscle_gain,Normal weight
296,Male,muscle_gain,Obesity
297,Female,muscle_gain,Overweight
298,Male,fat_burn,Underweight
299,Male,fat_burn,Overweight
300,Male,fat_burn,Normal weight
301,Female,muscle_gain,Overweight
302,Male,fat_burn,Overweight
303,Female,muscle_gain,Underweight
304,Male,fat_burn,Underweight
305,Male,fat_burn,Overweight
306,Female,muscle_gain,Underweight
307,Male,muscle_gain,Overweight
308,Female,fat_burn,Obesity
309,Male,fat_burn,Underweight
310,Male,muscle_gain,Obesity
311,Male,muscle_gain,Overweight
312,Male,muscle_gain,Underweight
313,Female,muscle_gain,Normal weight
314,Female,muscle_gain,Obesity
315,Female,muscle_gain,Normal weight
316,Male,fat_burn,Overweight
317,Female,fat_burn,Obesity
318,Male,fat_burn,Overweight
319,Female,muscle_gain,Normal weight
320,Male,fat_burn,Normal weight
321,Male,fat_burn,Normal weight
322,Male,fat_burn,Overweight
323,Female,muscle_gain,Underweight
324,Female,fat_burn,Underweight
325,Female,fat_burn,Underweight
326,Male,fat_burn,Normal weight
327,Male,fat_burn,Obesity
328,Male,muscle_gain,Obesity
329,Female,muscle_gain,Overweight
330,Male,fat_burn,Overweight
331,Male,muscle_gain,Normal weight
332,Female,fat_burn,Obesity
333,Female,fat_burn,Underweight
334,Male,muscle_gain,Underweight
335,Female,muscle_gain,Overweight
336,Male,muscle_gain,Underweight
337,Male,muscle_gain,Obesity
338,Female,muscle_gain,Underweight
339,Female,muscle_gain,Overweight
340,Female,fat_burn,Obesity
341,Male,fat_burn,Underweight
342,Male,muscle_gain,Overweight
343,Male,fat_burn,Obesity
344,Female,muscle_gain,Underweight
345,Male,muscle_gain,Underweight
346,Male,fat_burn,Normal weight
347,Female,fat_burn,Underweight
348,Female,muscle_gain,Obesity
349,Male,muscle_gain,Underweight
350,Male,muscle_gain,Underweight
351,Male,fat_burn,Overweight
352,Male,fat_burn,Underweight
353,Female,muscle_gain,Underweight
354,Female,fat_burn,Normal weight
355,Male,muscle_gain,Normal weight
356,Female,fat_burn,Underweight
357,Female,muscle_gain,Underweight
358,Female,muscle_gain,Normal weight
359,Female,fat_burn,Overweight
360,Female,fat_burn,Overweight
361,Female,fat_burn,Obesity
362,Male,fat_burn,Normal weight
363,Female,fat_burn,Obesity
364,Female,muscle_gain,Overweight
365,Female,muscle_gain,Obesity
366,Female,muscle_gain,Underweight
367,Female,fat_burn,Overweight
368,Female,fat_burn,Obesity
369,Female,muscle_gain,Normal weight
370,Female,muscle_gain,Underweight
371,Female,muscle_gain,Obesity
372,Female,fat_burn,Overweight
373,Female,muscle_gain,Underweight
374,Female,muscle_gain,Underweight
375,Female,fat_burn,Normal weight
376,Female,muscle_gain,Normal weight
377,Female,muscle_gain,Underweight
378,Female,muscle_gain,Overweight
379,Male,muscle_gain,Obesity
380,Male,fat_burn,Overweight
381,Female,muscle_gain,Underweight
382,Male,fat_burn,Normal weight
383,Female,fat_burn,Underweight
384,Female,fat_burn,Normal weight
385,Male,fat_burn,Obesity
386,Female,muscle_gain,Overweight
387,Male,muscle_gain,Normal weight
388,Male,muscle_gain,Underweight
389,Female,muscle_gain,Normal weight
390,Female,fat_burn,Overweight
391,Male,fat_burn,Obesity
392,Male,fat_burn,Normal weight
393,Male,fat_burn,Obesity
394,Male,fat_burn,Normal weight
395,Female,fat_burn,Overweight
396,Male,fat_burn,Obesity
397,Female,fat_burn,Underweight
398,Female,muscle_gain,Obesity
399,Male,fat_burn,Obesity
400,Male,muscle_gain,Normal weight
401,Female,fat_burn,Overweight
402,Male,muscle_gain,Overweight
403,Female,muscle_gain,Normal weight
404,Female,muscle_gain,Obesity
405,Female,muscle_gain,Obesity
406,Female,fat_burn,Obesity
407,Female,muscle_gain,Underweight
408,Female,muscle_gain,Normal weight
409,Male,fat_burn,Underweight
410,Female,fat_burn,Underweight
411,Female,fat_burn,Underweight
412,Male,fat_burn,Normal weight
413,Female,fat_burn,Obesity
414,Female,muscle_gain,Obesity
415,Male,muscle_gain,Underweight
416,Male,muscle_gain,Underweight
417,Male,muscle_gain,Overweight
418,Male,fat_burn,Overweight
419,Male,fat_burn,Obesity
420,Female,muscle_gain,Overweight
421,Female,muscle_gain,Underweight
422,Female,muscle_gain,Normal weight
423,Male,fat_burn,Overweight
424,Male,muscle_gain,Underweight
425,Female,muscle_gain,Overweight
426,Male,fat_burn,Normal weight
427,Female,fat_burn,Overweight
428,Female,fat_burn,Normal weight
429,Male,fat_burn,Underweight
430,Male,fat_burn,Normal weight
431,Female,muscle_gain,Overweight
432,Male,muscle_gain,Normal weight
433,Male,muscle_gain,Normal weight
434,Female,fat_burn,Normal weight
435,Male,fat_burn,Underweight
436,Female,fat_burn,Underweight
437,Male,muscle_gain,Underweight
438,Female,fat_burn,Underweight
439,Male,muscle_gain,Obesity
440,Male,fat_burn,Normal weight
441,Female,fat_burn,Obesity
442,Female,muscle_gain,Underweight
443,Female,muscle_gain,Obesity
444,Female,fat_burn,Underweight
445,Male,fat_burn,Underweight
446,Male,fat_burn,Overweight
447,Female,fat_burn,Obesity
448,Female,fat_burn,Overweight
449,Female,muscle_gain,Underweight
450,Female,fat_burn,Overweight
451,Female,fat_burn,Obesity
452,Female,muscle_gain,Obesity
453,Male,fat_burn,Obesity
454,Male,fat_burn,Overweight
455,Female,fat_burn,Obesity
456,Female,muscle_gain,Overweight
457,Female,fat_burn,Overweight
458,Female,fat_burn,Obesity
459,Male,fat_burn,Obesity
460,Male,fat_burn,Obesity
461,Female,muscle_gain,Overweight
462,Female,muscle_gain,Obesity
463,Female,fat_burn,Overweight
464,Female,muscle_gain,Normal weight
465,Male,fat_burn,Normal weight
466,Male,fat_burn,Obesity
467,Female,fat_burn,Underweight
468,Male,fat_burn,Overweight
469,Female,fat_burn,Underweight
470,Male,muscle_gain,Underweight
471,Female,muscle_gain,Obesity
472,Male,muscle_gain,Obesity
473,Female,muscle_gain,Overweight
474,Male,muscle_gain,Overweight
475,Male,fat_burn,Underweight
476,Female,muscle_gain,Underweight
477,Male,muscle_gain,Overweight
478,Male,fat_burn,Normal weight
479,Male,fat_burn,Obesity
480,Male,fat_burn,Normal weight
481,Male,muscle_gain,Underweight
482,Male,muscle_gain,Overweight
483,Female,fat_burn,Normal weight
484,Male,fat_burn,Obesity
485,Female,muscle_gain,Normal weight
486,Male,muscle_gain,Underweight
487,Female,muscle_gain,Obesity
488,Male,muscle_gain,Overweight
489,Male,fat_burn,Overweight
490,Female,fat_burn,Overweight
491,Female,fat_burn,Obesity
492,Male,muscle_gain,Underweight
493,Female,fat_burn,Overweight
494,Male,fat_burn,Underweight
495,Male,fat_burn,Normal weight
496,Female,muscle_gain,Underweight
497,Male,fat_burn,Obesity
498,Female,muscle_gain,Obesity
499,Male,muscle_gain,Overweight
500,Male,muscle_gain,Underweight
501,Male,fat_burn,Underweight
502,Male,fat_burn,Underweight
503,Female,muscle_gain,Overweight
504,Female,muscle_gain,Obesity
505,Male,muscle_gain,Overweight
506,Male,fat_burn,Normal weight
507,Male,muscle_gain,Underweight
508,Female,fat_burn,Underweight
509,Female,muscle_gain,Normal weight
510,Female,fat_burn,Overweight
511,Female,fat_burn,Underweight
512,Male,fat_burn,Normal weight
513,Female,muscle_gain,Underweight
514,Male,fat_burn,Overweight
515,Male,fat_burn,Obesity
516,Male,muscle_gain,Obesity
517,Female,fat_burn,Underweight
518,Male,muscle_gain,Underweight
519,Male,muscle_gain,Normal weight
520,Female,fat_burn,Overweight
521,Female,muscle_gain,Underweight
522,Female,muscle_gain,Overweight
523,Female,fat_burn,Normal weight
524,Male,fat_burn,Underweight
525,Male,muscle_gain,Overweight
526,Male,fat_burn,Obesity
527,Male,fat_burn,Underweight
528,Female,fat_burn,Overweight
529,Female,fat_burn,Underweight
530,Male,fat_burn,Obesity
531,Male,muscle_gain,Underweight
532,Male,fat_burn,Overweight
533,Female,muscle_gain,Overweight
534,Male,muscle_gain,Overweight
535,Female,muscle_gain,Obesity
536,Female,muscle_gain,Obesity
537,Male,muscle_gain,Underweight
538,Female,fat_burn,Obesity
539,Male,fat_burn,Obesity
540,Male,fat_burn,Underweight
541,Female,muscle_gain,Overweight
542,Male,fat_burn,Overweight
543,Female,fat_burn,Obesity
544,Male,fat_burn,Underweight
545,Female,fat_burn,Obesity
546,Female,fat_burn,Underweight
547,Male,muscle_gain,Underweight
548,Female,fat_burn,Normal weight
549,Male,muscle_gain,Normal weight
550,Female,fat_burn,Overweight
551,Female,fat_burn,Obesity
552,Male,fat_burn,Underweight
553,Female,muscle_gain,Obesity
554,Female,muscle_gain,Overweight
555,Female,muscle_gain,Normal weight
556,Female,fat_burn,Overweight
557,Female,muscle_gain,Normal weight
558,Female,fat_burn,Overweight
559,Male,muscle_gain,Obesity
560,Female,fat_burn,Normal weight
561,Female,muscle_gain,Obesity
562,Male,muscle_gain,Obesity
563,Male,muscle_gain,Overweight
564,Female,fat_burn,Underweight
565,Male,muscle_gain,Obesity
566,Male,fat_burn,Normal weight
567,Female,fat_burn,Normal weight
568,Male,fat_burn,Underweight
569,Female,fat_burn,Overweight
570,Female,muscle_gain,Underweight
571,Female,muscle_gain,Overweight
572,Female,fat_burn,Overweight
573,Female,fat_burn,Normal weight
574,Female,fat_burn,Obesity
575,Male,muscle_gain,Normal weight
576,Male,fat_burn,Normal weight
577,Female,muscle_gain,Underweight
578,Female,fat_burn,Underweight
579,Male,fat_burn,Normal weight
580,Male,muscle_gain,Normal weight
581,Female,fat_burn,Obesity
582,Female,muscle_gain,Normal weight
583,Male,fat_burn,Normal weight
584,Male,muscle_gain,Obesity
585,Male,muscle_gain,Normal weight
586,Male,muscle_gain,Overweight
587,Male,fat_burn,Normal weight
588,Female,muscle_gain,Underweight
589,Female,muscle_gain,Underweight
590,Male,fat_burn,Underweight
591,Female,muscle_gain,Overweight
592,Female,muscle_gain,Overweight
593,Female,fat_burn,Normal weight
594,Female,fat_burn,Obesity
595,Female,muscle_gain,Normal weight
596,Male,fat_burn,Obesity
597,Female,fat_burn,Obesity
598,Male,muscle_gain,Underweight
599,Female,muscle_gain,Underweight
600,Female,muscle_gain,Normal weight
601,Female,fat_burn,Normal weight
602,Female,fat_burn,Underweight
603,Female,muscle_gain,Obesity
604,Male,muscle_gain,Underweight
605,Male,muscle_gain,Obesity
606,Female,fat_burn,Normal weight
607,Male,fat_burn,Overweight
608,Male,muscle_gain,Obesity
609,Male,fat_burn,Obesity
610,Female,muscle_gain,Normal weight
611,Male,fat_burn,Normal weight
612,Male,muscle_gain,Overweight
613,Female,fat_burn,Normal weight
614,Female,muscle_gain,Underweight
615,Female,muscle_gain,Normal weight
616,Male,fat_burn,Overweight
617,Male,fat_burn,Normal weight
618,Male,fat_burn,Obesity
619,Female,fat_burn,Overweight
